License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17175,"Avondale Street, 4526",4526 Avondale St,Bethesda,20814,171966,-77.09341442,38.98588311,4/14/22,,1,1,4,1,1,0,0,0,0,compliant,"(38.9859, -77.0934)"
33150,"Maplewood Avenue, 805",805 Maplewood Ave,Takoma Park,20912,161046,-76.99991908,38.98825149,7/28/21,,3,1,1,1,0,0,1,0,0,compliant,"(38.9883, -76.9999)"
17579,Canterbury,20019 Sweetgum Cir,Germantown,20874,159421,-77.27438804,39.18475103,1/15/20,,2,1,544,258,1.41,1.6,76,0,0,at-risk,"(39.1848, -77.2744)"
85739,The Residences At Thayer Avenue,814 Thayer Ave,Silver Spring,20910,169462,-77.02328107,38.9926945,10/7/21,,3,1,52,14,1.57,1.22,5,0,0,compliant,"(38.9927, -77.0233)"
17278,Glenmont Forest,2386 Glenmont Cir,Silver Spring,20902,166703,-77.04945791,39.05737677,7/14/21,,3,1,480,162,1.87,1.42,39,0.07,0.01,compliant,"(39.0574, -77.0495)"
17402,"Wisconsin Avenue, 8200",8200 Wisconsin Ave,Bethesda,20814,166759,-77.09639533,38.99192398,9/10/21,,3,1,245,64,0.68,0.74,41,0,0,compliant,"(38.9919, -77.0964)"
17806,"Thayer Avenue, 808",808 Thayer Ave,Silver Spring,20910,157699,-77.02282367,38.99272203,8/30/19,,1,0,2,2,0,0,2,0,0,compliant,"(38.9927, -77.0228)"
17232,Rock Creek Springs,8000 Eastern Dr,Silver Spring,20910,173292,-77.03221427,38.9890639,6/17/22,,3,1,215,42,1.33,0.9,18,0,0,compliant,"(38.9891, -77.0322)"
17556,Montgomery Paint Branch,11556 February Cir,Silver Spring,20904,144858,-76.97689723,39.04685913,2/7/18,,3,0,243,65,1.36,1.26,19,0.04,0.04,compliant,"(39.0469, -76.9769)"
17637,Burnt Mills Crossing,10713 Venetia Mill Cir,Silver Spring,20901,173310,-77.00267186,39.03079411,7/22/22,,3,1,96,23,0.13,0.11,21,0,0,compliant,"(39.0308, -77.0027)"
17529,"Prospect Street, 912",912 Prospect St,Takoma Park,20912,154233,-76.99825491,38.9897836,4/16/19,,3,0,3,3,0,0,4,0,0,compliant,"(38.9898, -76.9983)"
17765,"Garland Avenue, 8009",8009 Garland Ave,Takoma Park,20912,171020,-76.99872285,38.99020093,2/7/22,,3,1,5,5,2.8,2,0,0,0,troubled,"(38.9902, -76.9987)"
17465,"Sligo Avenue, 609",609 Sligo Ave,Silver Spring,20910,157627,-77.0132394,38.99155659,10/3/19,,1,0,4,4,1,1.5,0,0,0,compliant,"(38.9916, -77.0132)"
17281,Metro 710,710 Roeder Rd,Silver Spring,20910,165000,-77.02508097,38.99844363,11/15/21,,3,1,104,22,0.09,0.27,20,0,0,compliant,"(38.9984, -77.0251)"
17608,"Glenville Road, 8800",8800 Glenville Rd,Silver Spring,20901,170972,-76.99732224,38.99963788,2/25/22,,3,1,7,7,1.85,1.15,2,0,0,compliant,"(38.9996, -76.9973)"
50866,Elms At Germantown,20426 Apple Harvest Cir,Germantown,20876,159469,-77.24338276,39.19161243,2/5/20,,2,1,316,162,0.98,1.44,66,0,0,compliant,"(39.1916, -77.2434)"
18215,"Kennebec Avenue, 807",807 Kennebec Ave,Takoma Park,20912,157685,-77.00005626,38.99019822,9/30/19,,2,0,5,5,0,0,5,0,0,compliant,"(38.9902, -77.0001)"
17734,Glenmont Westerly,2309 Shorefield Rd,Silver Spring,20902,166704,-77.04971514,39.05304606,7/21/21,,3,1,100,32,0.9,1.28,10,0,0,compliant,"(39.053, -77.0497)"
80751,"Greenwood Ave, 8203",8203 Greenwood Ave,Takoma Park,20912,160568,-77.00040108,38.99183192,3/6/20,,3,1,1,3,1.33,2,0,0,0,at-risk,"(38.9918, -77.0004)"
17576,Towne Centre Place,3502 Morningwood Dr,Olney,20832,169476,-77.06941661,39.15144026,11/15/21,,3,1,49,37,0.62,0.39,28,0,0,compliant,"(39.1514, -77.0694)"
17318,Oxford Square,11902 Parklawn Pl,Rockville,20852,146564,-77.10213627,39.05118173,4/3/18,,3,0,167,45,1.88,1.47,5,0,0,compliant,"(39.0512, -77.1021)"
17601,"Greenwood Circle, 816",816 Greenwood Cir,Takoma Park,20912,161040,-77.00147414,38.99208452,9/25/20,,3,1,6,0,0,0,0,0,0,TBD,"(38.9921, -77.0015)"
48062,Bennington At Silver Spring,1215 East West Hwy,Silver Spring,20910,159527,-77.02934608,38.99115554,1/28/20,,3,1,223,53,1.32,0.93,24,0,0,compliant,"(38.9912, -77.0293)"
17984,"Avondale Street, 4500-4502",4500 Avondale St,Bethesda,20814,171969,-77.09224308,38.98599658,8/22/22,,2,1,7,1,2,0,0,0,0,compliant,"(38.986, -77.0922)"
17202,Forest Glen,9920 Georgia Ave,Silver Spring,20902,118337,0,0,3/26/14,,1,0,73,13,15.92,1.48,2,0,0,at-risk,"(0.0, 0.0)"
17641,The Villages At Decoverly,9901 Gable Ridge Ter,Rockville,20850,169474,-77.20521631,39.10839767,12/1/21,,3,1,564,135,0.56,1.13,73,0,0,compliant,"(39.1084, -77.2052)"
17551,"Sunrise Village House, LLC",19310 Club House Rd,Montgomery Village,20886,169477,-77.20271594,39.17364927,2/8/22,,3,1,68,12,0,0,17,0,0,compliant,"(39.1736, -77.2027)"
17433,"Flower Avenue, 8619",8619 Flower Ave,Takoma Park,20912,157676,-77.00299785,38.99730404,9/6/19,,1,0,5,6,0,0,4,0,0,compliant,"(38.9973, -77.003)"
17301,Sligo House Apartments,603 Sligo Ave,Silver Spring,20910,159458,-77.01366742,38.99129111,1/6/20,,2,0,64,30,1.86,1.64,4,0.1,0,at-risk,"(38.9913, -77.0137)"
17706,Blair Park,7721 Eastern Ave,Takoma Park,20912,160561,-77.02443147,38.98291232,10/6/20,,3,1,52,2,1.5,2,0,0,0,at-risk,"(38.9829, -77.0244)"
17962,"Garland Avenue, 8312",8312 Garland Ave,Takoma Park,20912,159476,-77.00058053,38.99431126,1/10/20,,2,0,3,3,0.66,0.66,1,0,0,compliant,"(38.9943, -77.0006)"
17498,"Long Branch Parkway, 7904",7904 Long Branch Pkwy,Takoma Park,20912,170992,-76.99587322,38.98760617,2/11/22,,3,1,3,3,4,1.38,1,0,0,at-risk,"(38.9876, -76.9959)"
17761,"Dale Drive, 527",527 Dale Dr,Silver Spring,20910,158804,-77.01735099,39.00060315,11/20/19,,2,0,10,10,1.3,1.23,2,0,0,compliant,"(39.0006, -77.0174)"
17646,Alexander House,8560 2Nd Ave,Silver Spring,20910,169467,-77.03234597,38.99615465,1/11/22,,3,1,305,70,0.34,0.43,49,0,0,compliant,"(38.9962, -77.0323)"
17449,"Greenwood Circle, 812",812 Greenwood Cir,Takoma Park,20912,161039,-77.00133694,38.99174953,9/25/20,,3,1,6,2,1,1,0,0,0,compliant,"(38.9917, -77.0013)"
17155,Charter House,1316 Fenwick Ln,Silver Spring,20910,144869,-77.03130498,38.99729165,1/30/18,,3,0,213,213,1.77,1.25,69,0.15,0,compliant,"(38.9973, -77.0313)"
17684,"Garland Avenue, 7903",7903 Garland Ave,Takoma Park,20912,171011,-76.99791721,38.98881983,2/1/22,,3,1,8,8,2.25,1.27,2,0,0,at-risk,"(38.9888, -76.9979)"
17688,"Garland Avenue, 8203",8203 Garland Ave,Takoma Park,20912,171032,-76.99937724,38.99203236,2/25/22,,3,1,6,6,1.33,1.87,1,0,0,at-risk,"(38.992, -76.9994)"
17490,"Frederick Road, 25901",25901 Frederick Rd,Clarksburg,20871,169484,-77.31459718,39.28139379,10/12/21,,3,1,2,3,4.66,1.57,0,0,0,troubled,"(39.2814, -77.3146)"
17726,"Glenville Road, 8810",8810 Glenville Rd,Silver Spring,20901,154056,0,0,4/17/19,,3,0,3,3,1.33,0.66,1,0,0,compliant,"(0.0, 0.0)"
17270,Croydon Manor Apartments,104 Croydon Ct,Silver Spring,20901,173304,-77.01197357,39.00394021,7/29/22,,3,1,96,23,1.26,0.96,9,0.04,0,compliant,"(39.0039, -77.012)"
116700,Heritage at Water's Landing,20700 Crystal Hill Cir,Germantown,20874,171956,-77.27640881,39.1980251,7/7/22,,2,1,300,292,1.57,1.39,88,0,0,compliant,"(39.198, -77.2764)"
43262,"Moore Road, 17320",17320 Moore Rd,Boyds,20841,154463,-77.36482026,39.16843025,3/29/19,,3,0,2,2,0,0,2,0,0,compliant,"(39.1684, -77.3648)"
52794,Cinnamon Run,14120 Weeping Willow Dr,Silver Spring,20906,171962,-77.06564945,39.08830481,6/21/22,,3,1,511,882,2.06,1.39,280,0.09,0.01,at-risk,"(39.0883, -77.0656)"
17289,Strathmore Apartments,7025 Strathmore St,Chevy Chase,20815,159462,-77.09280431,38.97935703,1/3/20,,2,0,28,14,0.14,0.21,12,0,0,compliant,"(38.9794, -77.0928)"
17489,"Prospect Street, 918",918 Prospect St,Takoma Park,20912,154234,-76.99806492,38.9898138,4/8/19,,3,0,2,2,0,0,2,0,0,compliant,"(38.9898, -76.9981)"
17349,"Quebec Terrace, 1033-1045",1033 Quebec Ter,Silver Spring,20903,169455,-76.98641055,39.00040869,1/13/22,,1,1,28,27,4.55,1.45,0,0.07,0.03,at-risk,"(39.0004, -76.9864)"
50345,"Houston Avenue, 807",807 Houston Ave,Takoma Park,20912,160580,-77.00097105,38.99103839,8/13/21,,3,1,2,2,1,1.5,0,0,0,compliant,"(38.991, -77.001)"
23359,Strathmore Court At White Flint,5440 Marinelli Rd,Rockville,20852,171038,-77.11024111,39.04721271,3/2/22,,3,1,202,48,0.83,1.03,27,0,0,compliant,"(39.0472, -77.1102)"
17602,"Garland Avenue, 8313",8313 Garland Ave,Takoma Park,20912,170996,-77.00010907,38.99403397,2/18/22,,3,1,6,7,2,1.78,1,0,0,at-risk,"(38.994, -77.0001)"
46159,Rosedale Park,4720 Rosedale Ave,Bethesda,20814,170969,-77.09550922,38.99233107,3/9/22,,3,1,164,41,0.51,1.19,22,0,0,compliant,"(38.9923, -77.0955)"
17284,"Silver Spring Avenue, 761",761 Silver Spring Ave,Silver Spring,20910,158830,-77.02173979,38.99207427,11/6/19,,2,0,3,2,0.5,1,1,0,0,compliant,"(38.9921, -77.0217)"
17981,"Avondale Street, 4504-4506",4504 Avondale St,Bethesda,20814,169492,-77.0924154,38.98598,10/14/21,,3,1,7,8,2.12,1.36,2,0,0,at-risk,"(38.986, -77.0924)"
